gene_id	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count	expected_count
gene0	148.00	82.00	180.00	133.00	23.00	926.00	280.00	583.00	188.00	135.00	376.00	63.00	1207.00
gene1	31.00	156.00	378.00	308.00	33.00	136.00	151.00	64.00	63.00	123.00	47.00	49.00	443.00
gene10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene100	222.00	3.00	75.00	5.00	11.00	57.00	22.00	28.00	89.00	2.00	74.00	123.00	28.00
gene1000	1091.00	229.00	1338.00	455.00	48.00	464.00	187.00	361.00	404.00	4355.00	3132.00	1640.00	6157.00
gene10000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene10001	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene10002	0.00	0.00	2.00	3.00	16.00	4.00	3.00	0.00	30.00	2.00	4.00	8.00	81.00
gene10003	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00
gene10004	129.00	77.00	549.00	211.00	58.00	365.00	182.00	313.00	275.00	1266.00	485.00	497.00	1564.00
gene10005	22.00	18.00	65.00	52.00	6.00	118.00	23.00	41.00	28.00	72.00	23.00	56.00	568.00
gene10006	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
gene10007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00
gene10008	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
gene10009	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene1001	320.00	104.00	206.00	295.00	111.00	153.00	67.00	90.00	152.00	73.00	80.00	58.00	1629.00
gene10010	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene10011	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene10012	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene10013	21.00	59.00	119.00	69.00	4.00	88.00	31.00	76.00	74.00	74.00	62.00	47.00	247.00
gene10014	4.00	0.00	1.00	0.00	18.00	0.00	0.00	0.00	6.00	0.00	1.00	2.00	5.00
gene10015	92.00	321.00	459.00	274.00	67.00	160.00	88.00	146.00	197.00	100.00	44.00	216.00	823.00
gene10016	37.00	24.00	130.00	103.00	28.00	120.00	42.00	58.00	108.00	11.00	74.00	98.00	328.00
gene10017	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene10018	9.00	48.00	61.00	81.00	0.00	130.00	63.00	61.00	33.00	26.00	9.00	39.00	309.00
gene10019	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	24.00
gene1002	12.00	3.00	74.00	49.00	10.00	16.00	0.00	4.00	17.00	59.00	54.00	29.00	261.00
gene10020	2804.00	117.00	1019.00	450.00	160.00	734.00	127.00	461.00	1502.00	2034.00	3680.00	541.00	112676.00
gene10021	12.00	11.00	17.00	7.00	0.00	25.00	0.00	19.00	16.00	5.00	3.00	12.00	164.00
gene10022	17.00	0.00	0.00	0.00	0.00	2.00	0.00	9.00	6.00	0.00	156.00	0.00	319.00
gene10023	0.00	0.00	28.00	25.00	0.00	29.00	0.00	10.00	0.00	0.00	0.00	10.00	218.00
gene10024	74.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00
gene10025	6.00	0.00	5.00	0.00	0.00	9.00	0.00	3.00	4.00	16.00	6.00	24.00	245.00
gene10026	71.00	60.00	292.00	238.00	5.00	137.00	73.00	83.00	219.00	109.00	30.00	148.00	935.00
gene10027	10.00	3.00	13.00	12.00	0.00	9.00	0.00	12.00	6.00	12.00	6.00	21.00	171.00
gene10028	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene10029	18.00	58.00	175.00	71.00	3.00	17.00	13.00	9.00	32.00	56.00	76.00	72.00	258.00
gene1003	42.00	62.00	273.00	110.00	0.00	15.00	8.00	1.00	10.00	1.00	21.00	32.00	35.00
gene10030	0.00	1.00	5.00	2.00	0.00	3.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00
gene10031	1465.00	9.00	105.00	51.00	19.00	62.00	34.00	64.00	37.00	2.00	43.00	76.00	1.00
gene10032	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gene10033	165.00	0.00	0.00	0.00	27.00	0.00	0.00	0.00	6.00	0.00	1.00	0.00	0.00
gene10034	10.00	63.00	220.00	99.00	17.00	326.00	109.00	163.00	200.00	0.00	52.00	113.00	215.00
gene10035	72.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00
gene10036	49.00	7.00	102.00	37.00	14.00	77.00	39.00	52.00	48.00	107.00	46.00	87.00	466.00
gene10037	18.00	70.00	42.00	45.00	0.00	59.00	9.00	32.00	41.00	50.00	76.00	41.00	434.00
gene10038	10.00	0.00	1.00	0.00	0.00	2.00	0.00	7.00	0.00	0.00	25.00	0.00	37.00
gene10039	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	1.00
gene1004	892.00	587.00	1373.00	974.00	411.00	941.00	379.00	535.00	911.00	558.00	956.00	557.00	4021.00
